id,case_number,document_type,file_path,content_length,content_preview,processed,created_at,updated_at,case_name,meta_absolute_url,meta_api_version,meta_appeal_from,meta_appeal_from_str,meta_appellate_case_type_information,meta_appellate_fee_status,meta_assigned_to,meta_assigned_to_id,meta_assigned_to_str,meta_attorney,meta_audio_files,meta_author,meta_author_id,meta_author_str,meta_blocked,meta_case_name,meta_case_name_full,meta_case_name_short,meta_case_number,meta_case_type,meta_cause,meta_citation_count,meta_citations,meta_citations_extracted,meta_citations_found,meta_cl_id,meta_cluster_data,meta_cluster_id,meta_clusters,meta_comprehensive_fetch,meta_content_length,meta_content_words,meta_court,meta_court_full,meta_court_id,meta_court_info,meta_court_name,meta_court_standardized,meta_courtlistener_id,meta_date_argued,meta_date_blocked,meta_date_cert_denied,meta_date_cert_granted,meta_date_created,meta_date_filed,meta_date_last_filing,meta_date_last_index,meta_date_modified,meta_date_reargued,meta_date_reargument_denied,meta_date_terminated,meta_docket_absolute_url,meta_docket_id,meta_docket_number,meta_docket_number_core,meta_docket_url,meta_doctor_extraction,meta_download_url,meta_extracted_by_ocr,meta_extraction_method,meta_federal_defendant_number,meta_federal_dn_case_type,meta_federal_dn_judge_initials_assigned,meta_federal_dn_judge_initials_referred,meta_federal_dn_office_code,meta_fetch_date,meta_fetch_timestamp,meta_fetched_at,meta_fetched_date,meta_filepath_ia,meta_filepath_ia_json,meta_firm,meta_flp_components,meta_flp_processed,meta_flp_processing,meta_flp_version,meta_has_content,meta_ia_date_first_change,meta_ia_needs_upload,meta_ia_upload_failure_count,meta_id,meta_idb_data,meta_is_gilstrap_case,meta_is_patent_case,meta_joined_by,meta_judge_enhanced,meta_judge_extraction_method,meta_judge_name,meta_judge_source,meta_jurisdiction_type,meta_jury_demand,meta_legal_issues,meta_local_path,meta_mdl_status,meta_nature_of_suit,meta_opinion_id,meta_opinion_type,meta_original_court_info,meta_pacer_case_id,meta_page_count,meta_panel,meta_panel_str,meta_parent_docket,meta_party,meta_pdf_processed,meta_per_curiam,meta_precedential_status,meta_processed_at,meta_processing_timestamp,meta_recap_document_count,meta_recap_documents,meta_referred_to,meta_referred_to_str,meta_resource_uri,meta_sha1,meta_slug,meta_snippet,meta_source,meta_status,meta_tags,meta_text_length,meta_total_citations,meta_type
11,1:25-cv-00367,civil_case,,280,Case: Clark v. Jasper City Police Department Docket Number: 1:25-cv-00367 Court: TXED Filed: 2025-07-14 Judge: Marcia A. Crone Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-14 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70794407/clark-v-jasper-city-police-department/,,,,,,Marcia A. Crone,https://www.courtlistener.com/api/rest/v3/people/764/,,,,,,,False,Clark v. Jasper City Police Department,,,,,,,,,,11,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-14,,,,,,,70794407,1:25-cv-00367,2500367,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Marcia A. Crone,metadata.assigned_to,,,,,,,,,,239150,,,,,,,,,,,,,Christine L. Stetson,,,,,,courtlistener_api,,,,,
12,1:25-cv-00369,civil_case,,293,Case: Gilbert v. Texas Department Of Criminal Justice Docket Number: 1:25-cv-00369 Court: TXED Filed: 2025-07-14 Judge: Michael J. Truncale Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-14 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70794403/gilbert-v-texas-department-of-criminal-justice/,,,,,,Michael J. Truncale,https://www.courtlistener.com/api/rest/v3/people/8643/,,,,,,,False,Gilbert v. Texas Department Of Criminal Justice,,,,,,,,,,12,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-14,,,,,,,70794403,1:25-cv-00369,2500369,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Michael J. Truncale,metadata.assigned_to,,,,,,,,,,239157,,,,,,,,,,,,,Christine L. Stetson,,,,,,courtlistener_api,,,,,
13,9:25-cv-00200,civil_case,,271,"Case: Colbert v. Director, TDCJ-CID Docket Number: 9:25-cv-00200 Court: TXED Filed: 2025-02-14 Judge: Marcia A. Crone Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70794400/colbert-v-director-tdcj-cid/,,,,,,Marcia A. Crone,https://www.courtlistener.com/api/rest/v3/people/764/,,,,,,,False,"Colbert v. Director, TDCJ-CID",,Colbert,,,,,,,,13,,,,,,,txed,,txed,,,,,,,,,,2025-02-14,2025-07-15,,,,,,,70794400,9:25-cv-00200,2500200,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Marcia A. Crone,metadata.assigned_to,,,,,,,,,,239160,,,,,,,,,,,,,Christine L. Stetson,,,,,,courtlistener_api,,,,,
14,9:25-cv-00198,civil_case,,271,"Case: Colbert v. Director, TDCJ-CID Docket Number: 9:25-cv-00198 Court: TXED Filed: 2025-02-14 Judge: Marcia A. Crone Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70794399/colbert-v-director-tdcj-cid/,,,,,,Marcia A. Crone,https://www.courtlistener.com/api/rest/v3/people/764/,,,,,,,False,"Colbert v. Director, TDCJ-CID",,Colbert,,,,,,,,14,,,,,,,txed,,txed,,,,,,,,,,2025-02-14,2025-07-15,,,,,,,70794399,9:25-cv-00198,2500198,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Marcia A. Crone,metadata.assigned_to,,,,,,,,,,239158,,,,,,,,,,,,,Christine L. Stetson,,,,,,courtlistener_api,,,,,
15,9:25-cv-00199,civil_case,,271,"Case: Colbert v. Director, TDCJ-CID Docket Number: 9:25-cv-00199 Court: TXED Filed: 2025-02-14 Judge: Marcia A. Crone Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70794398/colbert-v-director-tdcj-cid/,,,,,,Marcia A. Crone,https://www.courtlistener.com/api/rest/v3/people/764/,,,,,,,False,"Colbert v. Director, TDCJ-CID",,Colbert,,,,,,,,15,,,,,,,txed,,txed,,,,,,,,,,2025-02-14,2025-07-15,,,,,,,70794398,9:25-cv-00199,2500199,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Marcia A. Crone,metadata.assigned_to,,,,,,,,,,239159,,,,,,,,,,,,,Christine L. Stetson,,,,,,courtlistener_api,,,,,
16,6:25-cv-00258,civil_case,,265,"Case: Kaye v. Director, TDCJ-CID Docket Number: 6:25-cv-00258 Court: TXED Filed: 2025-07-14 Judge: John D. Love Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70794272/kaye-v-director-tdcj-cid/,,,,,,John D. Love,https://www.courtlistener.com/api/rest/v3/people/9561/,,,,,,,False,"Kaye v. Director, TDCJ-CID",,Kaye,,,,,,,,16,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-15,,,,,,,70794272,6:25-cv-00258,2500258,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,John D. Love,metadata.assigned_to,,,,,,,,,,239149,,,,,,,,,,,,,,,,,,,courtlistener_api,,,,,
17,4:25-cv-00755,civil_case,,269,"Case: Blair v. Finley RediMix, LLC Docket Number: 4:25-cv-00755 Court: TXED Filed: 2025-07-14 Judge: Sean D. Jordan Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-14 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70793887/blair-v-finley-redimix-llc/,,,,,,Sean D. Jordan,https://www.courtlistener.com/api/rest/v3/people/14410/,,,,,,,False,"Blair v. Finley RediMix, LLC",,Blair,,,,,,,,17,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-14,,,,,,,70793887,4:25-cv-00755,2500755,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Sean D. Jordan,metadata.assigned_to,,,,,,,,,,239148,,,,,,,,,,,,,,,,,,,courtlistener_api,,,,,
18,1:25-cv-00366,civil_case,,303,Case: Johnson v. United States Docket Number: 1:25-cv-00366 Court: TXED Filed: 2025-07-14 Judge: Michael J. Truncale Nature of Suit: 360 P.I.: Other - 28:1346 Tort Claim  [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-14 ,False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70793457/johnson-v-united-states/,,,,,,Michael J. Truncale,https://www.courtlistener.com/api/rest/v3/people/8643/,,,,,,,False,Johnson v. United States,,,,,28:1346 Tort Claim,,,,,18,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-14,,,,,,,70793457,1:25-cv-00366,2500366,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Michael J. Truncale,metadata.assigned_to,U.S. Government Defendant,None,,,,360 P.I.: Other,,,,239147,,,,,,,,,,,,,Zack Hawthorn,,,,,,courtlistener_api,,,,,
19,1:25-cv-00368,civil_case,,270,"Case: Porter v. Director, TDCJ-CID Docket Number: 1:25-cv-00368 Court: TXED Filed: 2025-07-14 Judge: Marcia A. Crone Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-14 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70792682/porter-v-director-tdcj-cid/,,,,,,Marcia A. Crone,https://www.courtlistener.com/api/rest/v3/people/764/,,,,,,,False,"Porter v. Director, TDCJ-CID",,Porter,,,,,,,,19,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-14,,,,,,,70792682,1:25-cv-00368,2500368,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,Marcia A. Crone,metadata.assigned_to,,,,,,,,,,239146,,,,,,,,,,,,,Zack Hawthorn,,,,,,courtlistener_api,,,,,
20,6:25-cv-00257,civil_case,,267,"Case: Newland v. East Texas Health System, LLC Docket Number: 6:25-cv-00257 Court: TXED Filed: 2025-07-14 Judge:  Nature of Suit:  -   [This is a docket entry from CourtListener. Document details require paid API access.]  Case Status: Active Last Filing: 2025-07-15 ",False,2025-07-16T04:44:15.441741,2025-07-23T02:35:35.581387,,https://www.courtlistener.com/docket/70791958/newland-v-east-texas-health-system-llc/,,,,,,,,,,,,,,False,"Newland v. East Texas Health System, LLC",,Newland,,,,,,,,20,,,,,,,txed,,txed,,,,,,,,,,2025-07-14,2025-07-15,,,,,,,70791958,6:25-cv-00257,2500257,,,,,,,,,,,2025-07-16T04:40:16.608513,,,,,,,,,,,,,,,,,,,,True,metadata,,metadata.assigned_to,,,,,,,,,,239145,,,,,,,,,,,,,,,,,,,courtlistener_api,,,,,
21,CA9-OPINION-11100985,opinion,,132,Ninth Circuit Opinion Type: 020lead Author:  Date: 2025-07-16T12:15:21.986675-07:00  [Full opinion text not available in free tier] ,False,2025-07-16T19:51:56.001199,2025-07-23T02:35:35.581387,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,ca9,,,,,,,,,,,2025-07-16T12:15:21.986675-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100985,,,,,,,,,,,,,,,,,,,,,,courtlistener_opinions,,,,,020lead
22,CA9-OPINION-11100984,opinion,,136,Ninth Circuit Opinion Type: 010combined Author:  Date: 2025-07-16T12:13:35.486231-07:00  [Full opinion text not available in free tier] ,False,2025-07-16T19:51:56.001199,2025-07-23T02:35:35.581387,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,ca9,,,,,,,,,,,2025-07-16T12:13:35.486231-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100984,,,,,,,,,,,,,,,,,,,,,,courtlistener_opinions,,,,,010combined
23,CA9-OPINION-11100983,opinion,,136,Ninth Circuit Opinion Type: 010combined Author:  Date: 2025-07-16T12:13:34.348284-07:00  [Full opinion text not available in free tier] ,False,2025-07-16T19:51:56.001199,2025-07-23T02:35:35.581387,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,ca9,,,,,,,,,,,2025-07-16T12:13:34.348284-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100983,,,,,,,,,,,,,,,,,,,,,,courtlistener_opinions,,,,,010combined
24,CA9-OPINION-11100982,opinion,,136,Ninth Circuit Opinion Type: 010combined Author:  Date: 2025-07-16T12:12:29.922317-07:00  [Full opinion text not available in free tier] ,False,2025-07-16T19:51:56.001199,2025-07-23T02:35:35.581387,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,ca9,,,,,,,,,,,2025-07-16T12:12:29.922317-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100982,,,,,,,,,,,,,,,,,,,,,,courtlistener_opinions,,,,,010combined
25,CA9-OPINION-11100981,opinion,,136,Ninth Circuit Opinion Type: 010combined Author:  Date: 2025-07-16T12:11:56.839712-07:00  [Full opinion text not available in free tier] ,False,2025-07-16T19:51:56.001199,2025-07-23T02:35:35.581387,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,ca9,,,,,,,,,,,2025-07-16T12:11:56.839712-07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100981,,,,,,,,,,,,,,,,,,,,,,courtlistener_opinions,,,,,010combined
